#node1	node2	node1_string_id	node2_string_id	node1_external_id	node2_external_id	neighborhood	fusion	cooccurence	homology	coexpression	experimental	knowledge	textmining	combined_score
PSMB3	PSMD7	976667	976364	ENSP00000225426	ENSP00000219313	0.000	0.000	0.000	0.000	0.210	0.000	0.900	0.062	0.915
GPR132	PROKR1	985532	982716	ENSP00000328818	ENSP00000303775	0.000	0.000	0.000	0.599	0.000	0.000	0.900	0.000	0.899
PA2G4	CCT2	982597	982130	ENSP00000302886	ENSP00000299300	0.000	0.000	0.000	0.000	0.442	0.000	0.000	0.000	0.442
RXFP4	CCL21	989656	978490	ENSP00000357301	ENSP00000259607	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.899
HTR4	HTR3A	988918	987954	ENSP00000353915	ENSP00000347754	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.937	0.937
PSMB4	PSMB3	981232	976667	ENSP00000290541	ENSP00000225426	0.000	0.000	0.296	0.000	0.868	0.842	0.900	0.872	0.999
PSMD2	BUB1B	983484	981056	ENSP00000310129	ENSP00000287598	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.034	0.899
P2RY1	NPFFR1	982827	980473	ENSP00000304767	ENSP00000277942	0.000	0.000	0.000	0.700	0.000	0.000	0.900	0.000	0.899
WTAP	SNRNP70	988483	976464	ENSP00000351141	ENSP00000221448	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.551	0.551
RAC1	LCK	988058	986625	ENSP00000348461	ENSP00000337825	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.349	0.930
XCL1	CCL21	989546	978490	ENSP00000356792	ENSP00000259607	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.703	0.702
SNRPA1	POLR2C	978026	976357	ENSP00000254193	ENSP00000219252	0.000	0.000	0.000	0.000	0.090	0.000	0.900	0.023	0.902
NAA15	PFN1	981793	976685	ENSP00000296543	ENSP00000225655	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.422	0.422
NEU1	SNRNP70	997054	976464	ENSP00000408957	ENSP00000221448	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.453	0.452
BUB1B	PSMB3	981056	976667	ENSP00000287598	ENSP00000225426	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.034	0.899
DGCR6	GNB1L	985880	985832	ENSP00000331681	ENSP00000331313	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.534	0.534
RAC1	RACGAP1	988058	983456	ENSP00000348461	ENSP00000309871	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.964	0.996
PRX	TEX1	985210	979541	ENSP00000326018	ENSP00000265097	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.553	0.553
AFF2	IL1RAPL1	990140	982870	ENSP00000359489	ENSP00000305200	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.776	0.776
CCT4	CCT2	993418	982130	ENSP00000377958	ENSP00000299300	0.000	0.000	0.525	0.863	0.776	0.268	0.900	0.748	0.984
TFEC	PSMA3	979612	976213	ENSP00000265440	ENSP00000216455	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.583	0.583
KPNB1	RPA1	981200	978067	ENSP00000290158	ENSP00000254719	0.000	0.000	0.000	0.000	0.000	0.446	0.000	0.000	0.446
PLA2G5	PLA2G12A	991133	977375	ENSP00000364249	ENSP00000243501	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.666	0.666
LAMA1	LAMC2	992890	979328	ENSP00000374309	ENSP00000264144	0.000	0.000	0.000	0.776	0.000	0.000	0.900	0.662	0.914
BUB1B	PSMD7	981056	976364	ENSP00000287598	ENSP00000219313	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.034	0.899
PSMC3	BUB1B	982074	981056	ENSP00000298852	ENSP00000287598	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.034	0.899
PSMD2	PSMA3	983484	976213	ENSP00000310129	ENSP00000216455	0.000	0.000	0.000	0.000	0.088	0.303	0.900	0.297	0.945
PSMB4	BUB1B	981232	981056	ENSP00000290541	ENSP00000287598	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.034	0.899
GUK1	RPL38	984291	983452	ENSP00000317659	ENSP00000309830	0.000	0.000	0.000	0.000	0.421	0.000	0.000	0.000	0.421
PSMC5	PSMD7	983541	976364	ENSP00000310572	ENSP00000219313	0.000	0.000	0.000	0.000	0.268	0.999	0.900	0.067	0.999
PSMA6	RBX1	978721	976180	ENSP00000261479	ENSP00000216225	0.000	0.000	0.000	0.000	0.000	0.562	0.000	0.063	0.562
HSPB8	PI4KB	980708	980116	ENSP00000281938	ENSP00000271657	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.417	0.417
PSMC3	PSMB3	982074	976667	ENSP00000298852	ENSP00000225426	0.000	0.000	0.000	0.000	0.521	0.000	0.900	0.063	0.948
GTPBP4	RPL27	988936	977996	ENSP00000354040	ENSP00000253788	0.000	0.000	0.000	0.000	0.088	0.584	0.000	0.000	0.595
PSMD2	PSMA6	983484	978721	ENSP00000310129	ENSP00000261479	0.000	0.000	0.000	0.000	0.101	0.296	0.900	0.067	0.928
PSMC3	PSMC4	982074	975847	ENSP00000298852	ENSP00000157812	0.000	0.000	0.525	0.911	0.334	0.855	0.900	0.930	0.990
TCF7L2	HNF1A	989897	978283	ENSP00000358404	ENSP00000257555	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.761	0.761
POLA1	IL1RAPL1	991939	982870	ENSP00000368349	ENSP00000305200	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.407	0.407
RPL27	RPL36	977996	977875	ENSP00000253788	ENSP00000252543	0.000	0.000	0.000	0.000	0.793	0.513	0.900	0.000	0.988
PRKAR1B	PRKAR1A	988839	988528	ENSP00000353415	ENSP00000351410	0.000	0.000	0.525	0.968	0.000	0.809	0.900	0.694	0.980
HCK	LCK	991294	986625	ENSP00000365012	ENSP00000337825	0.000	0.000	0.525	0.955	0.000	0.000	0.900	0.828	0.905
PSMC5	PSMB4	983541	981232	ENSP00000310572	ENSP00000290541	0.000	0.000	0.000	0.000	0.561	0.208	0.900	0.067	0.960
RACGAP1	BUB1B	983456	981056	ENSP00000309871	ENSP00000287598	0.000	0.000	0.000	0.000	0.717	0.000	0.000	0.000	0.717
POLE	RPA1	984840	978067	ENSP00000322570	ENSP00000254719	0.000	0.000	0.000	0.000	0.000	0.440	0.000	0.141	0.486
PSMC5	PSMC3	983541	982074	ENSP00000310572	ENSP00000298852	0.000	0.000	0.525	0.915	0.541	0.999	0.900	0.941	0.999
PRKAR1B	WNK1	988839	983846	ENSP00000353415	ENSP00000313059	0.000	0.000	0.000	0.000	0.000	0.416	0.000	0.000	0.416
GUK1	MAGI3	984291	982810	ENSP00000317659	ENSP00000304604	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.821	0.821
PSMC5	PSMA3	983541	976213	ENSP00000310572	ENSP00000216455	0.000	0.000	0.000	0.000	0.167	0.165	0.900	0.067	0.921
LCK	TNFRSF13C	986625	981271	ENSP00000337825	ENSP00000291232	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.417	0.417
PSMA1	PSMD2	984052	983484	ENSP00000315309	ENSP00000310129	0.000	0.000	0.000	0.000	0.000	0.244	0.900	0.191	0.930
IK	KCNF1	995640	981548	ENSP00000396301	ENSP00000295082	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.673	0.673
NUP98	BUB1B	984122	981056	ENSP00000316032	ENSP00000287598	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.858	0.984
